index,Weight
1841,6.888729874776386
2880,6.888729874776386
1348,5.272987477638641
950,5.272987477638641
1579,5.27298747763864
1444,5.184973166368515
663,5.184973166368515
2995,5.096958855098389
1842,5.096958855098389
835,4.401431127012522
1055,4.389266547406082
1007,4.33309481216458
434,4.33309481216458
1059,4.33309481216458
891,4.333094812164579
827,4.333094812164579
2260,4.333094812164579
946,4.289087656529517
546,4.289087656529516
1575,4.289087656529516
1110,4.289087656529516
1122,4.289087656529516
1643,4.289087656529516
1631,4.289087656529516
837,4.2450805008944545
1694,4.2450805008944545
1275,4.2450805008944545
1320,4.201073345259392
1329,3.505545617173524
2768,3.449373881932021
